,TNFA,Inflammatory_response,Mesenchymal,Injury_response
ABCA13,,,,Injury_response
ABI3BP,,,,Injury_response
ALPK2,,,,Injury_response
ANKRD20A5P,,,,Injury_response
ANO2,,,,Injury_response
ATP2B1,TNFA,Inflammatory_response,,
BTBD11,,,,Injury_response
CCDC178,,,,Injury_response
CLMP,,,,Injury_response
EHF,,,,Injury_response
ENAM,,,,Injury_response
FHL2,,,Mesenchymal,Injury_response
GJB3,,,,Injury_response
GNA14,,,,Injury_response
IL31RA,,,,Injury_response
IL6,TNFA,Inflammatory_response,,Injury_response
ITGB6,,,,Injury_response
KLK10,,,,Injury_response
LAMA3,,,,Injury_response
LEKR1,,,,Injury_response
MUC17,,,,Injury_response
NDST3,,,,Injury_response
NMUR1,,Inflammatory_response,,
PCSK5,,,,Injury_response
PIGR,,,,Injury_response
PLCXD3,,,,Injury_response
PLS1,,,,Injury_response
PNOC,,,,Injury_response
PTPRQ,,,,Injury_response
RBFOX3,,,,Injury_response
RELN,,,,Injury_response
RYR2,,,,Injury_response
SLITRK6,,,,Injury_response
TGM4,,,,Injury_response
THEGL,,,,Injury_response
TOR4A,,,,Injury_response
TPTE2P6,,,,Injury_response
UCP2,,,Mesenchymal,Injury_response
XKR3,,,,Injury_response
